[2023-10-19 10:41:52.864] INFO    configserver     just-start-configserver	JVM env:  LD_LIBRARY_PATH=/opt/vespa/lib64:/opt/vespa-deps/lib64 MALLOC_ARENA_MAX=1 VESPA_LOG_CONTROL_DIR=/opt/vespa/var/db/vespa/logcontrol VESPA_LOG_CONTROL_FILE=/opt/vespa/var/db/vespa/logcontrol/configserver.logcontrol VESPA_LOG_TARGET=file:/opt/vespa/logs/vespa/vespa.log VESPA_SERVICE_NAME=configserver standalone_jdisc_container__app_location=/opt/vespa/conf/configserver-app
[2023-10-19 10:41:52.864] INFO    configserver     just-start-configserver	JVM exec: [java -XX:ActiveProcessorCount=48 -XX:+PreserveFramePointer -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/opt/vespa/var/crash -XX:ErrorFile=/opt/vespa/var/crash/hs_err_pid%p.log -XX:+ExitOnOutOfMemoryError -XX:MaxJavaStackTraceDepth=1000000 -XX:-OmitStackTraceInFastThrow --add-opens=java.base/java.io=ALL-UNNAMED --add-opens=java.base/java.lang=ALL-UNNAMED --add-opens=java.base/java.net=ALL-UNNAMED --add-opens=java.base/java.nio=ALL-UNNAMED --add-opens=java.base/jdk.internal.loader=ALL-UNNAMED --add-opens=java.base/sun.security.ssl=ALL-UNNAMED -Djava.io.tmpdir=/opt/vespa/var/tmp -Djava.library.path=/opt/vespa/lib64:/opt/vespa-deps/lib64 -Djava.security.properties=/opt/vespa/conf/vespa/java.security.override -Djava.awt.headless=true -Dsun.rmi.dgc.client.gcInterval=3600000 -Dsun.net.client.defaultConnectTimeout=5000 -Dsun.net.client.defaultReadTimeout=60000 -Djavax.net.ssl.keyStoreType=JKS -Djdk.tls.rejectClientInitiatedRenegotiation=true -Dfile.encoding=UTF-8 -Dorg.apache.commons.logging.Log=org.apache.commons.logging.impl.Jdk14Logger -Djdisc.bundle.path=/opt/vespa/lib/jars -Djdisc.logger.enabled=false -Djdisc.logger.level=WARNING -Dvespa.log.control.dir=/opt/vespa/var/db/vespa/logcontrol -Djdisc.export.packages= -Djdisc.config.file=/opt/vespa/var/jdisc_container/configserver.properties -Djdisc.cache.path=/opt/vespa/var/vespa/bundlecache/configserver -Djdisc.logger.tag=configserver -Dzookeeper_log_file_prefix=/opt/vespa/logs/vespa/zookeeper.configserver -Xms128m -Xmx2g -XX:+UseTransparentHugePages -cp /opt/vespa/lib/jars/jdisc_core-jar-with-dependencies.jar com.yahoo.jdisc.core.StandaloneMain standalone-container-jar-with-dependencies.jar]
[2023-10-19 10:41:52.945] INFO    configproxy      just-run-configproxy	JVM env:  LD_LIBRARY_PATH=/opt/vespa/lib64:/opt/vespa-deps/lib64 MALLOC_ARENA_MAX=1 VESPA_LOG_CONTROL_DIR=/opt/vespa/var/db/vespa/logcontrol VESPA_LOG_CONTROL_FILE=/opt/vespa/var/db/vespa/logcontrol/configproxy.logcontrol VESPA_LOG_TARGET=file:/opt/vespa/logs/vespa/vespa.log VESPA_SERVICE_NAME=configproxy
[2023-10-19 10:41:52.945] INFO    configproxy      just-run-configproxy	JVM exec: [java -XX:+ExitOnOutOfMemoryError -XX:+PreserveFramePointer -XX:CompressedClassSpaceSize=32m -XX:MaxDirectMemorySize=32m -XX:ThreadStackSize=448 -XX:MaxJavaStackTraceDepth=1000 -XX:-OmitStackTraceInFastThrow -XX:ActiveProcessorCount=2 -Dproxyconfigsources=tcp/vespa-container:19070 -Djava.io.tmpdir=${VESPA_HOME}/var/tmp -Xms32m -Xmx128m -XX:+UseTransparentHugePages -cp /opt/vespa/lib/jars/config-proxy-jar-with-dependencies.jar com.yahoo.vespa.config.proxy.ProxyServer 19090]
[2023-10-19 10:41:53.284] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.RpcConfigSourceClient	Could not connect to config source at tcp/vespa-container:19070
[2023-10-19 10:41:53.289] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.RpcConfigSourceClient	Could not connect to any config source in set [tcp/vespa-container:19070], please make sure config server(s) are running.
[2023-10-19 10:41:53.366] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.filedistribution.FileReferencesAndDownloadsMaintainer	Not running maintainer, since this is on a config server host
[2023-10-19 10:41:58.130] INFO    configserver     Container.com.yahoo.container.core.config.HandlersConfigurerDi	Installing bundles for application generation 0
[2023-10-19 10:41:58.333] INFO    configserver     Container.com.yahoo.container.core.config.ApplicationBundleLoader	Installed bundles: {[0]org.apache.felix.framework:7.0.5, [1]standalone-container:8.243.29, [2]configdefinitions:8.243.29, [3]config-provisioning:8.243.29, [4]config-bundle:8.243.29, [5]config-model-api:8.243.29, [6]config-model:8.243.29, [7]container-disc:8.243.29, [8]hosted-zone-api:8.243.29, [9]container-apache-http-client-bundle:8.243.29, [10]security-utils:8.243.29, [11]bcprov:1.76.0, [12]bcpkix:1.76.0, [13]bcutil:1.76.0, [14]com.fasterxml.jackson.core.jackson-annotations:2.15.3, [15]com.fasterxml.jackson.core.jackson-core:2.15.3, [16]com.fasterxml.jackson.core.jackson-databind:2.15.3, [17]com.fasterxml.jackson.datatype.jackson-datatype-jdk8:2.15.3, [18]com.fasterxml.jackson.datatype.jackson-datatype-jsr310:2.15.3, [19]javax.ws.rs-api:2.1.99.b01, [20]container-spifly:1.3.6, [21]javax.servlet-api:3.1.0, [22]container-search-and-docproc:8.243.29, [23]linguistics-components:8.243.29, [24]model-evaluation:8.243.29, [25]model-integration:8.243.29, [26]container-onnxruntime:8.243.29, [27]jdisc-security-filters:8.243.29, [28]vespa-athenz:8.243.29, [29]zkfacade:8.243.29, [30]zookeeper-server:8.243.29, [31]config-model-fat:8.243.29, [32]configserver:8.243.29, [33]flags:8.243.29, [34]http-client:8.243.29, [35]node-repository:8.243.29, [36]application-model:8.243.29, [37]orchestrator:8.243.29, [38]service-monitor:8.243.29, [39]configserver-flags:8.243.29}
[2023-10-19 10:42:00.528] INFO    configproxy      configproxy.com.yahoo.vespa.config.JRTConnection	Connecting to tcp/vespa-container:19070
[2023-10-19 10:42:03.562] INFO    configserver     Container.com.yahoo.container.handler.threadpool.ContainerThreadpoolImpl	Threadpool 'default-pool': min=96, max=4800, queue=0
